60002,2022/01/01 00:37:00,2022/01/06 00:37:00,2022/01/05 00:00:00,5500
60012,2022/01/01 00:39:00,2022/01/06 00:39:00,2022/01/05 00:00:00,6500
60024,2022/01/01 00:49:00,2022/01/06 00:49:00,2022/01/08 00:00:00,7000
60036,2022/01/01 01:07:00,2022/01/06 01:07:00,2022/01/07 00:00:00,5500
60048,2022/01/01 01:33:00,2022/01/06 01:33:00,2022/01/08 00:00:00,7000
60058,2022/01/01 01:40:00,2022/01/06 01:40:00,2022/01/05 00:00:00,6500
60212,2022/01/01 01:52:00,2022/01/06 01:52:00,2022/01/08 00:00:00,6500
60219,2022/01/01 02:08:00,2022/01/06 02:08:00,2022/01/08 00:00:00,5500
60224,2022/01/01 02:42:00,2022/01/06 02:42:00,2022/01/05 00:00:00,6500
60230,2022/01/01 03:27:00,2022/01/06 03:27:00,2022/01/05 00:00:00,6500
60253,2022/01/01 03:55:00,2022/01/06 03:55:00,2022/01/05 00:00:00,4500
60375,2022/01/01 05:05:00,2022/01/06 05:05:00,2022/01/05 00:00:00,6500
60378,2022/01/01 05:09:00,2022/01/06 05:09:00,2022/01/06 00:00:00,4000
60386,2022/01/01 05:15:00,2022/01/06 05:15:00,2022/01/07 00:00:00,7000
60392,2022/01/01 05:38:00,2022/01/06 05:38:00,2022/01/06 00:00:00,4500
60000,2022/01/01 05:50:00,2022/01/06 05:50:00,2022/01/03 00:00:00,6000
60005,2022/01/01 05:57:00,2022/01/06 05:57:00,2022/01/04 00:00:00,6500
60016,2022/01/01 06:22:00,2022/01/06 06:22:00,2022/01/08 00:00:00,6500
60019,2022/01/01 06:29:00,2022/01/06 06:29:00,2022/01/05 00:00:00,6500
60022,2022/01/01 06:45:00,2022/01/06 06:45:00,2022/01/04 00:00:00,6500
60044,2022/01/01 06:46:00,2022/01/06 06:46:00,2022/01/06 00:00:00,6000
60053,2022/01/01 07:00:00,2022/01/06 07:00:00,2022/01/08 00:00:00,6500
60056,2022/01/01 07:02:00,2022/01/06 07:02:00,2022/01/08 00:00:00,7000
60061,2022/01/01 07:11:00,2022/01/06 07:11:00,2022/01/07 00:00:00,4500
60075,2022/01/01 07:11:00,2022/01/06 07:11:00,2022/01/08 00:00:00,5500
60080,2022/01/01 07:14:00,2022/01/06 07:14:00,2022/01/08 00:00:00,4000
60095,2022/01/01 07:15:00,2022/01/06 07:15:00,2022/01/05 00:00:00,4500
60099,2022/01/01 07:18:00,2022/01/06 07:18:00,2022/01/08 00:00:00,8000
60109,2022/01/01 07:19:00,2022/01/06 07:19:00,2022/01/07 00:00:00,6000
60120,2022/01/01 07:19:00,2022/01/06 07:19:00,2022/01/04 00:00:00,5000
60305,2022/01/01 07:20:00,2022/01/06 07:20:00,2022/01/08 00:00:00,4000
60306,2022/01/01 07:22:00,2022/01/06 07:22:00,2022/01/08 00:00:00,5500
